Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
60 to 64,Population,BWA,Female,1/1/2011,0M,20386.569529471,
25 to 29,Population,GHA,Male,1/1/2013,1M,,1084166.21649296
60 to 64,Population,SSD,Male,1/1/2011,0M,,62608.002950999
40 to 44,Population,BHR,Male,1/1/2008,0M,,54995.712837490
15 to 19,Population,MMR,Male,1/1/2015,2M,,2445408.68111539
75 to 79,Population,MOZ,Male,1/1/2011,0M,,40166.432194305
50 to 54,Population,NZL,Male,1/1/2012,0M,,144914.505838707
25 to 29,Population,ETH,Female,1/1/2009,3M,3204003.82733517,
40 to 44,Population,PRT,Male,1/1/2017,0M,,409849.864381197
20 to 24,Population,HRV,Female,1/1/2010,0M,134182.618432927,
30 to 34,Population,UGA,Female,1/1/2013,1M,1051223.45204368,
20 to 24,Population,ASM,Male,1/1/2014,0M,,2252.122531220
45 to 49,Population,GAB,Male,1/1/2016,0M,,37269.972932010
70 to 74,Population,MNE,Female,1/1/2016,0M,11049.740165467,
80 plus,Population,IRL,Male,1/1/2017,0M,,61673.210819664
Under 5,Population,NER,Male,1/1/2016,2M,,2153336.60230074
75 to 79,Population,VNM,Male,1/1/2017,0M,,426184.828957446
5 to 9,Population,BTN,Female,1/1/2008,0M,37303.873511191,
45 to 49,Population,IRL,Male,1/1/2017,0M,,168288.95281674
Under 5,Population,FSM,Male,1/1/2015,0M,,5580.514067727
50 to 54,Population,BIH,Female,1/1/2014,0M,139232.062820477,
Under 5,Population,SUR,Male,1/1/2008,0M,,22977.486687908
40 to 44,Population,VIR,Male,1/1/2008,0M,,3721.988148242
20 to 24,Population,GIN,Female,1/1/2015,1M,554770.568755736,
65 to 69,Population,BGR,Female,1/1/2015,0M,275975.414596214,
35 to 39,Population,SGP,Male,1/1/2009,0M,,228069.536328176
Under 5,Population,SYR,Male,1/1/2016,1M,,782738.461867666
15 to 19,Population,LCA,Female,1/1/2010,0M,8039.474104407,
10 to 14,Population,ERI,Male,1/1/2009,0M,,344098.587670274
20 to 24,Population,NER,Male,1/1/2016,1M,,820531.994098883
35 to 39,Population,BRB,Male,1/1/2013,0M,,9799.474312399
35 to 39,Population,WSM,Male,1/1/2009,0M,,5982.124807785
30 to 34,Population,TON,Male,1/1/2009,0M,,3338.488587507
30 to 34,Population,ARG,Female,1/1/2008,2M,1502250.36471139,
45 to 49,Population,GMB,Male,1/1/2008,0M,,25404.292702337
25 to 29,Population,THA,Male,1/1/2012,2M,,2495663.06625431
25 to 29,Population,MHL,Female,1/1/2012,0M,2342.053934886,
80 plus,Population,IRN,Female,1/1/2010,0M,381637.689969611,
60 to 64,Population,CIV,Male,1/1/2017,0M,,207857.835487046
10 to 14,Population,HUN,Female,1/1/2008,0M,264438.485789848,
15 to 19,Population,PRY,Female,1/1/2015,0M,334408.442838858,
20 to 24,Population,MAR,Female,1/1/2013,2M,1577062.33155667,
45 to 49,Population,BOL,Female,1/1/2016,0M,265025.353440545,
55 to 59,Population,KAZ,Male,1/1/2008,0M,,294934.999796921
80 plus,Population,MLT,Female,1/1/2008,0M,8432.066331105,
5 to 9,Population,CAF,Female,1/1/2016,0M,311466.124260677,
40 to 44,Population,COL,Male,1/1/2012,1M,,1413305.24060493
75 to 79,Population,URY,Male,1/1/2010,0M,,37287.142162579
25 to 29,Population,KEN,Female,1/1/2010,2M,1783024.62805517,
60 to 64,Population,MKD,Female,1/1/2015,0M,64076.822479775,
55 to 59,Population,COG,Female,1/1/2017,0M,61705.186105989,
60 to 64,Population,TUN,Male,1/1/2008,0M,,139008.947133555
35 to 39,Population,GUM,Male,1/1/2014,0M,,5191.240433033
70 to 74,Population,DJI,Female,1/1/2015,0M,4017.985826852,
70 to 74,Population,OMN,Female,1/1/2017,0M,14171.779295531,
75 to 79,Population,VIR,Female,1/1/2011,0M,1161.293297446,
25 to 29,Population,HUN,Male,1/1/2011,0M,,315137.14008297
80 plus,Population,NLD,Female,1/1/2013,0M,455099.596117571,
55 to 59,Population,GNB,Male,1/1/2013,0M,,14832.176209683
75 to 79,Population,ALB,Male,1/1/2015,0M,,36100.726431794
70 to 74,Population,TTO,Female,1/1/2015,0M,19478.110863210,
10 to 14,Population,VCT,Female,1/1/2014,0M,4776.580458821,
65 to 69,Population,SWE,Female,1/1/2017,0M,283668.786836345,
20 to 24,Population,FSM,Male,1/1/2015,0M,,4873.404522573
10 to 14,Population,RUS,Male,1/1/2013,4M,,3576403.99462675
30 to 34,Population,SLE,Female,1/1/2011,0M,239737.299676269,
60 to 64,Population,GAB,Male,1/1/2014,0M,,20032.882906269
60 to 64,Population,GUY,Male,1/1/2010,0M,,9089.071380716
45 to 49,Population,NLD,Female,1/1/2013,1M,639867.046037403,
10 to 14,Population,SYC,Female,1/1/2017,0M,3492.045693395,
55 to 59,Population,TUN,Female,1/1/2011,0M,233435.266090486,
5 to 9,Population,KEN,Female,1/1/2016,3M,3125956.69630795,
10 to 14,Population,MNG,Male,1/1/2014,0M,,115719.690525212
Under 5,Population,SWE,Female,1/1/2010,0M,271469.659469547,
80 plus,Population,BOL,Female,1/1/2016,0M,69259.165631168,
75 to 79,Population,BIH,Female,1/1/2016,0M,70095.988385447,
35 to 39,Population,MDV,Male,1/1/2011,0M,,13715.492035994
60 to 64,Population,CMR,Male,1/1/2011,0M,,165531.993989576
50 to 54,Population,PHL,Female,1/1/2016,2M,2233782.56025289,
20 to 24,Population,JPN,Male,1/1/2009,3M,,3494983.60031135
30 to 34,Population,SDN,Male,1/1/2009,1M,,997844.890455413
15 to 19,Population,SDN,Male,1/1/2013,2M,,2025149.53153557
65 to 69,Population,HND,Female,1/1/2015,0M,79638.751318303,
40 to 44,Population,ARE,Female,1/1/2011,0M,144950.314821068,
35 to 39,Population,YEM,Male,1/1/2009,1M,,607346.71278609
35 to 39,Population,ECU,Female,1/1/2011,1M,508803.668863815,
5 to 9,Population,CYP,Female,1/1/2013,0M,29626.324249750,
75 to 79,Population,ARE,Male,1/1/2008,0M,,4150.139762840
Under 5,Population,CUB,Male,1/1/2012,0M,,322023.702600165
15 to 19,Population,LKA,Male,1/1/2010,1M,,842196.344236478
15 to 19,Population,TUR,Female,1/1/2009,3M,3035764.12108347,
10 to 14,Population,WSM,Male,1/1/2013,0M,,12129.759257650
40 to 44,Population,LAO,Male,1/1/2013,0M,,169994.508838735
65 to 69,Population,TWN,Female,1/1/2017,1M,640047.428022991,
40 to 44,Population,BLR,Female,1/1/2016,0M,340663.424452356,
45 to 49,Population,IRN,Female,1/1/2010,2M,1969691.4725165,
60 to 64,Population,SVN,Female,1/1/2008,0M,53002.902542546,
75 to 79,Population,DZA,Female,1/1/2009,0M,192511.002215034,
40 to 44,Population,COM,Male,1/1/2015,0M,,19828.406692476
25 to 29,Population,UZB,Male,1/1/2012,1M,,1404128.34389412
35 to 39,Population,ZAF,Female,1/1/2015,2M,1862916.44824963,
70 to 74,Population,MLT,Male,1/1/2011,0M,,7453.953150810
60 to 64,Population,GBR,Female,1/1/2015,4M,3551028.57046293,
Under 5,Population,GRC,Male,1/1/2011,0M,,283310.337151876
5 to 9,Population,NZL,Female,1/1/2015,0M,148643.111745369,
65 to 69,Population,DOM,Male,1/1/2016,0M,,119934.031095643
10 to 14,Population,YEM,Male,1/1/2013,2M,,1738932.19227255
60 to 64,Population,MYS,Female,1/1/2016,1M,513196.129652524,
75 to 79,Population,MDA,Male,1/1/2011,0M,,32055.975883075
25 to 29,Population,BGD,Female,1/1/2012,7M,6775586.1666,
75 to 79,Population,STP,Male,1/1/2012,0M,,611.461827535
30 to 34,Population,TUR,Female,1/1/2013,3M,3237125.44124115,
10 to 14,Population,SGP,Male,1/1/2013,0M,,148913.909031969
65 to 69,Population,EGY,Female,1/1/2015,1M,740403.038213745,
5 to 9,Population,CHL,Male,1/1/2011,1M,,585980.045901646
70 to 74,Population,GNB,Male,1/1/2009,0M,,4648.415626706
50 to 54,Population,AUT,Male,1/1/2012,0M,,323861.015921166
35 to 39,Population,RUS,Male,1/1/2009,5M,,5047875.16521679
60 to 64,Population,KAZ,Female,1/1/2011,0M,320250.963484302,
5 to 9,Population,PRK,Female,1/1/2012,1M,871834.450173825,
55 to 59,Population,TZA,Female,1/1/2017,1M,556854.409187765,
70 to 74,Population,GMB,Female,1/1/2011,0M,10279.824007337,
55 to 59,Population,GRD,Female,1/1/2008,0M,2512.997394938,
35 to 39,Population,LSO,Female,1/1/2008,0M,50774.880429672,
15 to 19,Population,PER,Male,1/1/2010,1M,,1428758.81034797
40 to 44,Population,MDA,Female,1/1/2008,0M,141068.635755625,
55 to 59,Population,SVN,Male,1/1/2011,0M,,76949.642262117
15 to 19,Population,SUR,Female,1/1/2011,0M,22968.169776321,
Under 5,Population,TWN,Female,1/1/2010,0M,472289.872323228,
45 to 49,Population,MEX,Male,1/1/2010,3M,,2948349.79178331
50 to 54,Population,IND,Female,1/1/2017,30M,29747272.9987421,
45 to 49,Population,MLT,Female,1/1/2008,0M,14940.190876251,
30 to 34,Population,VNM,Male,1/1/2010,4M,,3645724.16604861
40 to 44,Population,VUT,Female,1/1/2013,0M,6506.503485869,
55 to 59,Population,CMR,Female,1/1/2008,0M,188296.270082433,
80 plus,Population,MEX,Male,1/1/2010,1M,,650458.03202957
15 to 19,Population,FIN,Female,1/1/2017,0M,143775.019633126,
15 to 19,Population,TON,Male,1/1/2013,0M,,5479.723581089
40 to 44,Population,AZE,Male,1/1/2011,0M,,324371.443402097
Under 5,Population,ASM,Male,1/1/2014,0M,,2989.124771322
65 to 69,Population,HRV,Female,1/1/2017,0M,139472.258754355,
50 to 54,Population,MNP,Male,1/1/2014,0M,,2621.658246787
20 to 24,Population,COD,Female,1/1/2016,4M,3512495.80357395,
60 to 64,Population,NLD,Female,1/1/2009,1M,518762.559662631,
75 to 79,Population,AZE,Female,1/1/2008,0M,63024.122570930,
50 to 54,Population,DZA,Female,1/1/2013,1M,808625.820979414,
75 to 79,Population,EST,Male,1/1/2015,0M,,17549.525358236
65 to 69,Population,LAO,Male,1/1/2009,0M,,41565.321239976
60 to 64,Population,GRD,Male,1/1/2011,0M,,1915.830946929
25 to 29,Population,CAF,Female,1/1/2010,0M,177723.1566918,
10 to 14,Population,BRB,Male,1/1/2009,0M,,9532.405114382
75 to 79,Population,SWZ,Female,1/1/2015,0M,4250.288253417,
65 to 69,Population,VUT,Female,1/1/2009,0M,1683.133286370,
Under 5,Population,HRV,Female,1/1/2010,0M,105502.597569054,
20 to 24,Population,SUR,Male,1/1/2008,0M,,23242.275949233
55 to 59,Population,MNE,Female,1/1/2014,0M,21392.191110123,
35 to 39,Population,KWT,Male,1/1/2016,0M,,282781.507974284
70 to 74,Population,TCD,Male,1/1/2010,0M,,48566.347622327
80 plus,Population,GMB,Male,1/1/2008,0M,,3034.848532181
70 to 74,Population,MWI,Female,1/1/2015,0M,83422.567707509,
Under 5,Population,DEU,Female,1/1/2009,2M,1665581.43590912,
35 to 39,Population,ERI,Male,1/1/2013,0M,,151407.76356306
20 to 24,Population,BLZ,Male,1/1/2012,0M,,16713.487682399
60 to 64,Population,BIH,Female,1/1/2008,0M,93497.064985371,
10 to 14,Population,PAN,Male,1/1/2012,0M,,180406.829054942
15 to 19,Population,MDV,Female,1/1/2016,0M,14644.590717493,
60 to 64,Population,EGY,Male,1/1/2009,1M,,1013553.94250099
50 to 54,Population,ZWE,Male,1/1/2010,0M,,138535.787801904
70 to 74,Population,DZA,Male,1/1/2015,0M,,290050.802392918
15 to 19,Population,BRB,Female,1/1/2015,0M,9417.656230062,
45 to 49,Population,HND,Male,1/1/2013,0M,,160402.061198975
60 to 64,Population,VUT,Male,1/1/2015,0M,,3402.469816092
Under 5,Population,VEN,Female,1/1/2009,1M,1375432.57431035,
75 to 79,Population,TLS,Male,1/1/2012,0M,,4127.581568515
25 to 29,Population,JPN,Female,1/1/2015,3M,3251412.83155938,
10 to 14,Population,TUR,Male,1/1/2015,3M,,3166571.93700612
5 to 9,Population,AFG,Female,1/1/2015,2M,2315806.43152447,
Under 5,Population,HUN,Female,1/1/2014,0M,219798.184687361,
80 plus,Population,COM,Female,1/1/2009,0M,1930.436488638,
75 to 79,Population,SLB,Male,1/1/2014,0M,,1812.016185683
55 to 59,Population,MDA,Female,1/1/2016,0M,152225.269032107,
60 to 64,Population,ARE,Male,1/1/2016,0M,,93392.854898664
75 to 79,Population,PSE,Male,1/1/2012,0M,,10475.480003917
50 to 54,Population,BOL,Female,1/1/2008,0M,179151.362970997,
25 to 29,Population,ARG,Female,1/1/2016,2M,1745974.8078548,
80 plus,Population,PHL,Female,1/1/2008,0M,332067.615744682,
70 to 74,Population,SWZ,Male,1/1/2009,0M,,3569.304972219
20 to 24,Population,LUX,Female,1/1/2010,0M,14649.624564229,
60 to 64,Population,MDG,Male,1/1/2010,0M,,142791.055356178
70 to 74,Population,MOZ,Female,1/1/2014,0M,101167.785143805,
5 to 9,Population,CZE,Male,1/1/2016,0M,,304274.904208231
55 to 59,Population,EST,Female,1/1/2013,0M,48207.033101810,
70 to 74,Population,DOM,Male,1/1/2008,0M,,72113.155468140
55 to 59,Population,ALB,Female,1/1/2013,0M,89419.379013828,
50 to 54,Population,BRA,Male,1/1/2012,5M,,5247616.73269182
75 to 79,Population,BTN,Female,1/1/2017,0M,4366.379982052,
35 to 39,Population,PRY,Male,1/1/2013,0M,,199878.361878383
70 to 74,Population,BHR,Male,1/1/2014,0M,,4196.019602606
10 to 14,Population,SLE,Male,1/1/2016,0M,,467274.196784724
20 to 24,Population,SLV,Male,1/1/2010,0M,,251499.160943316
Under 5,Population,DNK,Female,1/1/2015,0M,145540.711257341,
40 to 44,Population,MYS,Male,1/1/2011,1M,,893168.655114577
45 to 49,Population,DOM,Female,1/1/2011,0M,259359.121584133,
50 to 54,Population,DJI,Male,1/1/2013,0M,,19233.567368796
50 to 54,Population,MWI,Male,1/1/2013,0M,,154592.08659321
15 to 19,Population,ZAF,Male,1/1/2013,2M,,2407950.37352391
75 to 79,Population,MWI,Male,1/1/2009,0M,,40411.089261628
30 to 34,Population,ZAF,Male,1/1/2009,2M,,1925499.73624883
75 to 79,Population,TUN,Male,1/1/2016,0M,,81461.795370274
25 to 29,Population,SRB,Female,1/1/2013,0M,315406.195015372,
35 to 39,Population,CRI,Male,1/1/2012,0M,,144330.340117678
65 to 69,Population,ATG,Female,1/1/2010,0M,1134.528872854,
55 to 59,Population,BRN,Female,1/1/2014,0M,7913.185986911,
45 to 49,Population,EGY,Male,1/1/2013,2M,,2209473.95694901
65 to 69,Population,MKD,Male,1/1/2009,0M,,39713.828727725
35 to 39,Population,SUR,Male,1/1/2016,0M,,18998.881813612
55 to 59,Population,BIH,Male,1/1/2011,0M,,127982.343764949
75 to 79,Population,TTO,Male,1/1/2009,0M,,8807.903076922
50 to 54,Population,MLT,Female,1/1/2016,0M,13566.398216485,
45 to 49,Population,PHL,Female,1/1/2008,2M,2222532.67839377,
35 to 39,Population,MLI,Female,1/1/2012,0M,392163.28085602,
60 to 64,Population,HND,Male,1/1/2009,0M,,74220.577320436
65 to 69,Population,SOM,Female,1/1/2017,0M,109163.659077225,
40 to 44,Population,MKD,Male,1/1/2013,0M,,77779.663119218
75 to 79,Population,SVN,Female,1/1/2016,0M,44480.384150659,
Under 5,Population,DMA,Male,1/1/2012,0M,,2381.226850031
65 to 69,Population,BOL,Male,1/1/2011,0M,,96579.898453645
20 to 24,Population,LVA,Female,1/1/2017,0M,49633.353161874,
Under 5,Population,SOM,Female,1/1/2010,1M,1260960.08743474,
40 to 44,Population,GBR,Male,1/1/2013,5M,,4577551.80344163
80 plus,Population,EGY,Male,1/1/2013,0M,,159984.180517019
25 to 29,Population,GRC,Female,1/1/2014,0M,303314.834180468,
60 to 64,Population,NGA,Female,1/1/2014,1M,1418248.30043284,
65 to 69,Population,SSD,Female,1/1/2014,0M,40205.246301978,
45 to 49,Population,ROU,Female,1/1/2010,1M,576361.628354918,
5 to 9,Population,ARG,Female,1/1/2010,2M,1725293.66407995,
15 to 19,Population,ERI,Female,1/1/2015,0M,316386.3433763,
50 to 54,Population,GMB,Male,1/1/2016,0M,,26114.537180186
35 to 39,Population,TGO,Male,1/1/2012,0M,,188053.100175757
60 to 64,Population,BLR,Male,1/1/2011,0M,,227671.153591365
20 to 24,Population,LSO,Female,1/1/2016,0M,96155.312924452,
60 to 64,Population,LAO,Female,1/1/2015,0M,74433.831204903,
80 plus,Population,DOM,Female,1/1/2011,0M,81188.461926043,
5 to 9,Population,PRT,Female,1/1/2011,0M,263872.400181696,
25 to 29,Population,GIN,Male,1/1/2009,0M,,294608.692398047
10 to 14,Population,ASM,Male,1/1/2008,0M,,3578.870721890
60 to 64,Population,BGR,Male,1/1/2009,0M,,235011.969779053
30 to 34,Population,NOR,Male,1/1/2017,0M,,183553.762979758
75 to 79,Population,LBN,Female,1/1/2017,0M,49976.448756690,
60 to 64,Population,COM,Female,1/1/2013,0M,7808.252244521,
55 to 59,Population,VIR,Male,1/1/2016,0M,,3545.402419977
80 plus,Population,HND,Male,1/1/2013,0M,,38116.693322571
25 to 29,Population,ASM,Female,1/1/2011,0M,1700.921224145,
15 to 19,Population,ECU,Male,1/1/2016,1M,,833172.656064318
Under 5,Population,VCT,Female,1/1/2008,0M,4588.030679393,
65 to 69,Population,GBR,Male,1/1/2009,3M,,2764404.0782182
55 to 59,Population,BEL,Female,1/1/2017,0M,387759.16807688,
10 to 14,Population,BEN,Male,1/1/2017,1M,,754823.303510815
35 to 39,Population,NER,Male,1/1/2008,0M,,338560.001262131
65 to 69,Population,JOR,Female,1/1/2010,0M,50158.859598015,
50 to 54,Population,MUS,Female,1/1/2014,0M,47587.897459843,
65 to 69,Population,BWA,Male,1/1/2014,0M,,14254.195185240
5 to 9,Population,VNM,Male,1/1/2008,4M,,3615678.78648803
75 to 79,Population,MYS,Female,1/1/2008,0M,115553.997062695,
20 to 24,Population,GRL,Male,1/1/2012,0M,,2364.022801962
Under 5,Population,JOR,Female,1/1/2017,1M,569326.340953556,
55 to 59,Population,SWZ,Male,1/1/2013,0M,,10816.951466301
30 to 34,Population,RUS,Female,1/1/2015,6M,6145895.85570542,
40 to 44,Population,CHN,Male,1/1/2010,66M,,65710498.464821
45 to 49,Population,COM,Female,1/1/2009,0M,12879.876179723,
50 to 54,Population,TTO,Male,1/1/2013,0M,,47214.441176653
40 to 44,Population,KAZ,Male,1/1/2016,1M,,560346.961634834
10 to 14,Population,PRY,Male,1/1/2009,0M,,355909.085742024
70 to 74,Population,ALB,Female,1/1/2009,0M,45118.636103852,
70 to 74,Population,EST,Female,1/1/2009,0M,40363.630788663,
30 to 34,Population,YEM,Female,1/1/2015,1M,1080763.59263738,
55 to 59,Population,SVK,Male,1/1/2014,0M,,184848.950773053
35 to 39,Population,LBY,Female,1/1/2017,0M,282693.902978916,
5 to 9,Population,RWA,Male,1/1/2009,1M,,706579.396653422
65 to 69,Population,NLD,Male,1/1/2015,1M,,503294.753023504
Under 5,Population,ETH,Male,1/1/2015,8M,,8242851.04126409
35 to 39,Population,TON,Female,1/1/2015,0M,3032.505318927,
20 to 24,Population,KIR,Male,1/1/2012,0M,,5438.137922644
75 to 79,Population,GNB,Female,1/1/2015,0M,4087.626146787,
80 plus,Population,ROU,Female,1/1/2010,0M,434144.735646031,
30 to 34,Population,SGP,Female,1/1/2015,0M,252204.535941686,
75 to 79,Population,ISR,Female,1/1/2014,0M,94858.224864379,
20 to 24,Population,KWT,Male,1/1/2008,0M,,138730.639442172
75 to 79,Population,DJI,Male,1/1/2009,0M,,1690.979641401
35 to 39,Population,SDN,Female,1/1/2015,1M,1150257.72503268,
35 to 39,Population,COD,Female,1/1/2008,2M,1595806.33238183,
80 plus,Population,BGR,Male,1/1/2013,0M,,115504.236920867
40 to 44,Population,CMR,Female,1/1/2016,1M,553332.644280317,
45 to 49,Population,BGR,Male,1/1/2013,0M,,245421.718936765
55 to 59,Population,BLR,Female,1/1/2008,0M,341359.453529503,
20 to 24,Population,BHS,Female,1/1/2010,0M,14343.936211406,
60 to 64,Population,AZE,Female,1/1/2016,0M,195100.926824083,
10 to 14,Population,TJK,Female,1/1/2017,0M,438111.341609561,
20 to 24,Population,LBR,Male,1/1/2012,0M,,189082.947532551
40 to 44,Population,GRD,Female,1/1/2016,0M,3236.614702723,
25 to 29,Population,ZMB,Male,1/1/2012,1M,,548339.841740216
Under 5,Population,MNG,Male,1/1/2008,0M,,137683.801131238
15 to 19,Population,KWT,Female,1/1/2011,0M,89385.093188806,
5 to 9,Population,ESP,Female,1/1/2013,1M,1189803.77345377,
70 to 74,Population,PHL,Male,1/1/2011,1M,,505985.706273011
Under 5,Population,ATG,Female,1/1/2017,0M,2732.781579259,
25 to 29,Population,CZE,Male,1/1/2010,0M,,376161.944079408
55 to 59,Population,USA,Male,1/1/2017,11M,,10786002.8199655
30 to 34,Population,WSM,Female,1/1/2015,0M,5896.894284009,
65 to 69,Population,IDN,Female,1/1/2012,3M,2605951.11596652,
25 to 29,Population,FSM,Female,1/1/2009,0M,3896.399963684,
75 to 79,Population,MLT,Female,1/1/2014,0M,8165.579507767,
65 to 69,Population,LUX,Female,1/1/2017,0M,12746.763744755,
30 to 34,Population,GUM,Female,1/1/2011,0M,5203.348266148,
70 to 74,Population,PRK,Female,1/1/2013,0M,473765.744257458,
25 to 29,Population,BFA,Female,1/1/2016,1M,813357.68256537,
10 to 14,Population,MMR,Female,1/1/2009,3M,2533548.86140421,
45 to 49,Population,BDI,Female,1/1/2013,0M,147691.107790722,
20 to 24,Population,DMA,Male,1/1/2012,0M,,2749.855066603
75 to 79,Population,NOR,Male,1/1/2010,0M,,58724.899845062
50 to 54,Population,MNE,Male,1/1/2011,0M,,22138.945517062
35 to 39,Population,SLE,Male,1/1/2014,0M,,189835.666666467
80 plus,Population,NGA,Female,1/1/2016,0M,474994.632628873,
80 plus,Population,BDI,Female,1/1/2013,0M,14076.138876099,
55 to 59,Population,TJK,Female,1/1/2010,0M,93930.284347746,
15 to 19,Population,MNG,Female,1/1/2011,0M,129386.464167739,
75 to 79,Population,MUS,Female,1/1/2016,0M,12329.373370022,
70 to 74,Population,LBY,Female,1/1/2010,0M,31335.239658779,
50 to 54,Population,SVN,Female,1/1/2014,0M,75127.851736323,
65 to 69,Population,LVA,Female,1/1/2010,0M,70164.207289585,
10 to 14,Population,CHE,Female,1/1/2012,0M,198389.560620935,
50 to 54,Population,GAB,Male,1/1/2008,0M,,27084.913285368
20 to 24,Population,SOM,Female,1/1/2010,1M,537503.54573704,
30 to 34,Population,LBN,Female,1/1/2010,0M,248576.822425671,
30 to 34,Population,GNQ,Male,1/1/2012,0M,,33656.426787417
55 to 59,Population,BEN,Male,1/1/2010,0M,,81305.089139812
60 to 64,Population,MNP,Male,1/1/2008,0M,,388.252088267
15 to 19,Population,KOR,Female,1/1/2015,2M,1557290.24869913,
20 to 24,Population,ATG,Female,1/1/2017,0M,3541.250505803,
70 to 74,Population,MDA,Female,1/1/2014,0M,74468.388496612,
45 to 49,Population,AZE,Female,1/1/2014,0M,353752.877245922,
45 to 49,Population,ARE,Male,1/1/2014,1M,,548731.332189959
15 to 19,Population,GTM,Female,1/1/2012,1M,886257.258570888,
Under 5,Population,LVA,Female,1/1/2017,0M,49946.069999600,
10 to 14,Population,CAN,Male,1/1/2013,1M,,990063.567556599
45 to 49,Population,NGA,Female,1/1/2016,4M,3702885.1390664,
65 to 69,Population,SLV,Male,1/1/2017,0M,,68541.951344276
Under 5,Population,KIR,Male,1/1/2012,0M,,8104.580921674
35 to 39,Population,PRI,Male,1/1/2013,0M,,116687.254651726
55 to 59,Population,BHR,Male,1/1/2016,0M,,42931.419003021
65 to 69,Population,MNE,Female,1/1/2008,0M,15196.012825957,
20 to 24,Population,JOR,Female,1/1/2017,0M,459995.991095404,
80 plus,Population,ARE,Male,1/1/2014,0M,,4216.178909438
70 to 74,Population,VIR,Male,1/1/2014,0M,,2401.951731535
35 to 39,Population,CAN,Male,1/1/2009,1M,,1092679.17507471
40 to 44,Population,NIC,Female,1/1/2010,0M,157866.660303406,
10 to 14,Population,SUR,Male,1/1/2014,0M,,26379.371620883
30 to 34,Population,IRQ,Male,1/1/2013,1M,,1356607.22413857
65 to 69,Population,GRD,Female,1/1/2014,0M,1587.537039768,
65 to 69,Population,CMR,Female,1/1/2014,0M,137392.686429143,
20 to 24,Population,MNG,Male,1/1/2008,0M,,153773.238978824
10 to 14,Population,UGA,Male,1/1/2015,3M,,2622549.3872455
5 to 9,Population,BFA,Female,1/1/2010,1M,1299236.40948466,
80 plus,Population,KGZ,Male,1/1/2017,0M,,20443.577726575
25 to 29,Population,MDG,Male,1/1/2017,1M,,978913.242869709
Under 5,Population,LBR,Male,1/1/2012,0M,,360682.193845709
30 to 34,Population,BTN,Female,1/1/2010,0M,28709.967348619,
30 to 34,Population,QAT,Female,1/1/2012,0M,68700.454544629,
15 to 19,Population,IRQ,Male,1/1/2009,2M,,1805604.8298607
10 to 14,Population,BEL,Female,1/1/2010,0M,297707.648977784,
5 to 9,Population,ARE,Male,1/1/2017,0M,,236714.708918305
Under 5,Population,KWT,Male,1/1/2008,0M,,128173.583283662
20 to 24,Population,ETH,Male,1/1/2015,5M,,4720877.86627189
70 to 74,Population,BRN,Female,1/1/2016,0M,2270.620165216,
20 to 24,Population,VCT,Female,1/1/2008,0M,4555.277667334,
30 to 34,Population,ECU,Male,1/1/2014,1M,,594594.601355741
10 to 14,Population,USA,Male,1/1/2010,11M,,10636730.1893416
20 to 24,Population,VEN,Female,1/1/2009,1M,1222080.82046508,
25 to 29,Population,DEU,Male,1/1/2015,3M,,2736504.97017881
70 to 74,Population,ISL,Male,1/1/2015,0M,,5000.749859706
50 to 54,Population,SLB,Male,1/1/2016,0M,,10214.211473699
Under 5,Population,BHS,Female,1/1/2010,0M,13840.532724407,
65 to 69,Population,BHS,Female,1/1/2017,0M,5505.014176225,
15 to 19,Population,VCT,Male,1/1/2011,0M,,5172.778645746
55 to 59,Population,MNP,Female,1/1/2011,0M,1306.266923505,
10 to 14,Population,PRI,Male,1/1/2009,0M,,144142.112918822
40 to 44,Population,SSD,Female,1/1/2016,0M,221647.686328164,
5 to 9,Population,BRA,Female,1/1/2015,8M,7680064.00338625,
5 to 9,Population,KGZ,Male,1/1/2014,0M,,308172.986151354
75 to 79,Population,GMB,Male,1/1/2014,0M,,6149.430787497
35 to 39,Population,GEO,Female,1/1/2012,0M,475635.638814512,
20 to 24,Population,DNK,Female,1/1/2015,0M,185552.398151871,
65 to 69,Population,KAZ,Male,1/1/2014,0M,,143852.807148172
45 to 49,Population,KGZ,Male,1/1/2017,0M,,158238.221603191
65 to 69,Population,GAB,Female,1/1/2011,0M,11746.359316581,
Under 5,Population,LUX,Female,1/1/2010,0M,14000.072924527,
25 to 29,Population,MRT,Male,1/1/2013,0M,,126022.836281486
40 to 44,Population,CHL,Female,1/1/2017,1M,624800.070909841,
Under 5,Population,GRL,Male,1/1/2012,0M,,2164.396316382
Under 5,Population,SLV,Male,1/1/2010,0M,,279982.183688801
40 to 44,Population,BWA,Male,1/1/2016,0M,,68163.966352375
55 to 59,Population,PRK,Female,1/1/2009,1M,500286.94976906,
5 to 9,Population,AZE,Female,1/1/2017,0M,392205.200995575,
Under 5,Population,LSO,Female,1/1/2016,0M,113519.724472326,
50 to 54,Population,ISR,Female,1/1/2016,0M,210799.94138339,
60 to 64,Population,CZE,Male,1/1/2017,0M,,337082.177995714
30 to 34,Population,MDV,Female,1/1/2014,0M,17607.862568475,
20 to 24,Population,HUN,Female,1/1/2014,0M,296297.320139664,
50 to 54,Population,AFG,Male,1/1/2012,0M,,157352.878101495
70 to 74,Population,SVK,Male,1/1/2016,0M,,78158.205171540
